,time,precip
845,2014-04-26,18.043552
846,2014-04-27,13.948367
847,2014-04-28,13.777431
848,2014-04-29,6.2122326
849,2014-04-30,10.719527
850,2014-05-01,20.777563
851,2014-05-02,6.6689973
852,2014-05-03,5.82734
853,2014-05-04,15.695952
854,2014-05-05,11.859505
855,2014-05-06,7.564602
856,2014-05-07,4.267249
857,2014-05-08,3.5423675
858,2014-05-09,20.14127
859,2014-05-10,8.989333
860,2014-05-11,15.223227
861,2014-05-12,7.545303
862,2014-05-13,10.1261215
863,2014-05-14,9.216721
864,2014-05-15,4.8857393
865,2014-05-16,7.996381
866,2014-05-17,11.839446
867,2014-05-18,7.556867
868,2014-05-19,7.4006605
869,2014-05-20,5.003763
870,2014-05-21,11.165967
871,2014-05-22,7.2832537
872,2014-05-23,4.8735695
873,2014-05-24,3.7296648
874,2014-05-25,3.2827222
875,2014-05-26,19.552666
876,2014-05-27,10.952587
877,2014-05-28,8.2892
878,2014-05-29,13.598214
879,2014-05-30,22.298761
880,2014-05-31,12.543139
881,2014-06-01,5.2815914
882,2014-06-02,3.8288605
883,2014-06-03,2.933034
884,2014-06-04,0.7494575
885,2014-06-05,2.3672342
886,2014-06-06,2.8573236
887,2014-06-07,1.6222078
888,2014-06-08,1.275751
889,2014-06-09,1.7731764
890,2014-06-10,2.4350457
891,2014-06-11,9.337658
892,2014-06-12,6.316983
893,2014-06-13,3.0709825
894,2014-06-14,0.64572227
895,2014-06-15,1.2446741
896,2014-06-16,8.587788
897,2014-06-17,6.0716014
898,2014-06-18,7.1131067
899,2014-06-19,6.997608
900,2014-06-20,5.0354867
901,2014-06-21,9.132301
902,2014-06-22,10.509884
903,2014-06-23,9.758154
904,2014-06-24,4.8662996
905,2014-06-25,5.759875
906,2014-06-26,14.647309
907,2014-06-27,8.259972
908,2014-06-28,7.778166
909,2014-06-29,13.749685
910,2014-06-30,12.122337
911,2014-07-01,3.487257
912,2014-07-02,3.1449044
913,2014-07-03,4.0787554
914,2014-07-04,3.811955
915,2014-07-05,2.9650838
916,2014-07-06,1.256594
917,2014-07-07,2.6034193
918,2014-07-08,2.7957962
919,2014-07-09,3.3078938
920,2014-07-10,5.6519365
921,2014-07-11,4.2688427
922,2014-07-12,6.738491
923,2014-07-13,5.004769
924,2014-07-14,3.6751873
925,2014-07-15,4.2507625
926,2014-07-16,8.62892
927,2014-07-17,3.9971473
928,2014-07-18,3.37516
929,2014-07-19,2.6866238
930,2014-07-20,1.385366
931,2014-07-21,3.3470306
932,2014-07-22,2.2474406
933,2014-07-23,0.8726413
934,2014-07-24,0.0067253686
935,2014-07-25,0.60575205
936,2014-07-26,1.3099583
937,2014-07-27,2.1734354
938,2014-07-28,7.293616
939,2014-07-29,8.974702
940,2014-07-30,2.1875327
941,2014-07-31,8.23983
942,2014-08-01,3.1031024
943,2014-08-02,1.0040429
944,2014-08-03,2.01931
945,2014-08-04,4.9192443
946,2014-08-05,6.259356
947,2014-08-06,6.2549458
948,2014-08-07,7.3889256
949,2014-08-08,3.3504229
950,2014-08-09,3.0372066
951,2014-08-10,3.3238158
952,2014-08-11,2.8705018
953,2014-08-12,1.8707438
954,2014-08-13,1.9409567
955,2014-08-14,2.3052368
956,2014-08-15,3.124746
957,2014-08-16,5.3445253
958,2014-08-17,3.51507
959,2014-08-18,1.0847021
960,2014-08-19,0.48431328
961,2014-08-20,0.21544899
962,2014-08-21,2.8659797
963,2014-08-22,3.8063006
964,2014-08-23,2.1859035
